Age,Total,Moved within same county,Moved from different county. same state,Moved from different state,Moved from abroad,Year
1 to 4 years,14891240,8.4,3.4,2.7,0.7,2022
5 to 17 years,53967403,5.7,2.2,1.7,0.6,2022
18 to 24 years,31254823,11.2,8.4,5.9,1.3,2022
25 to 34 years,45233264,10.7,5.6,4.3,1.1,2022
35 to 44 years,44047644,6.4,3.1,2.4,0.7,2022
45 to 54 years,40476446,4.4,2.1,1.6,0.4,2022
55 to 64 years,42127468,3.4,1.7,1.6,0.3,2022
65 to 74 years,33898072,2.6,1.3,1.3,0.3,2022
75 years and over,23924243,3.4,1.4,1.2,0.3,2022
1 to 4 years,15232038,9.3,3.6,2.6,0.5,2021
5 to 17 years,54814033,6.2,2.3,1.7,0.4,2021
18 to 24 years,30225003,11.5,8.4,5.8,0.9,2021
25 to 34 years,45079138,11.9,5.7,4.2,0.7,2021
35 to 44 years,43733561,7.1,3.3,2.2,0.5,2021
45 to 54 years,40673717,4.8,2.2,1.5,0.3,2021
55 to 64 years,42815034,3.6,1.8,1.4,0.3,2021
65 to 74 years,33778204,2.7,1.3,1.3,0.3,2021
75 years and over,22113810,3.3,1.3,1.2,0.3,2021
1 to 4 years,16024167,10.8,3.6,2.6,0.7,2020
5 to 17 years,53646546,7.5,2.2,1.6,0.5,2020
18 to 24 years,30435736,13.4,8.2,5.3,1.1,2020
25 to 34 years,45485165,13.0,5.6,4.0,1.0,2020
35 to 44 years,41346677,7.9,3.1,2.2,0.6,2020
45 to 54 years,41540736,5.5,2.2,1.5,0.4,2020
55 to 64 years,42101439,4.2,1.7,1.4,0.4,2020
65 to 74 years,30547950,3.1,1.3,1.3,0.4,2020
75 years and over,21814867,3.9,1.4,1.1,0.3,2020
1 to 4 years,15830835,10.6,3.7,2.6,0.6,2019
5 to 17 years,53562950,7.4,2.3,1.6,0.5,2019
18 to 24 years,30373170,12.9,8.1,5.3,1.1,2019
25 to 34 years,45578475,12.7,5.6,4.0,1.0,2019
35 to 44 years,41914845,7.9,3.1,2.2,0.6,2019
45 to 54 years,40863107,5.5,2.2,1.5,0.4,2019
55 to 64 years,42468113,4.1,1.8,1.4,0.3,2019
65 to 74 years,31575561,3.1,1.3,1.2,0.3,2019
75 years and over,22498467,3.9,1.4,1.1,0.3,2019
1 to 4 years,16010841,11.3,3.6,2.7,0.7,2018
5 to 17 years,53705927,7.8,2.3,1.7,0.5,2018
18 to 24 years,30656350,13.6,8.1,5.3,1.1,2018
25 to 34 years,45344674,13.1,5.6,4.0,1.0,2018
